Site Name	Purpose	Culture	Location type	Water type	Capacity	Lat	Long
GILDESKÅL FORSKNINGSSTASJON AS	KOMMERSIELL	Butare	SJØ	SALTVANN	1560 TN	67.071033	14.113967
GILDESKÅL FORSKNINGSSTASJON AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	1560 TN	67.071033	14.113967
GILDESKÅL FORSKNINGSSTASJON AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	1560 TN	67.071033	14.113967
GILDESKÅL FORSKNINGSSTASJON AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	1560 TN	67.071033	14.113967
NORWEGIAN SEAWEED INSTITUTE AS	KOMMERSIELL	Butare	SJØ	SALTVANN	137 DA	66.988867	14.160167
NORWEGIAN SEAWEED INSTITUTE AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	137 DA	66.988867	14.160167
NORWEGIAN SEAWEED INSTITUTE AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	137 DA	66.988867	14.160167
NORWEGIAN SEAWEED INSTITUTE AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	137 DA	66.988867	14.160167
NORWEGIAN SEAWEED INSTITUTE AS	KOMMERSIELL	Draugtare	SJØ	SALTVANN	137 DA	66.988867	14.160167
POLARALGE AS	KOMMERSIELL	Butare	LAND	SALTVANN	48 M2	67.051717	14.224967
POLARALGE AS	KOMMERSIELL	Stortare	LAND	SALTVANN	48 M2	67.051717	14.224967
POLARALGE AS	KOMMERSIELL	Fingertare	LAND	SALTVANN	48 M2	67.051717	14.224967
POLARALGE AS	KOMMERSIELL	Sukkertare	LAND	SALTVANN	48 M2	67.051717	14.224967
EUKARYO AS	KOMMERSIELL	Sukkertare	LAND	SALTVANN	1 DA	67.122000	14.048700
EUKARYO AS	KOMMERSIELL	Fingertare	LAND	SALTVANN	1 DA	67.122000	14.048700
EUKARYO AS	KOMMERSIELL	Butare	LAND	SALTVANN	1 DA	67.122000	14.048700
EUKARYO AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	272 DA	67.097583	13.998883
EUKARYO AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	272 DA	67.097583	13.998883
EUKARYO AS	KOMMERSIELL	Butare	SJØ	SALTVANN	272 DA	67.097583	13.998883
NORWEGIAN HARVEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	50 DA	67.974000	15.513667
NORWEGIAN HARVEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	50 DA	67.974000	15.513667
NORWEGIAN HARVEST AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	50 DA	67.974000	15.513667
NORWEGIAN HARVEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	50 DA	67.974000	15.513667
SJY SEAWEED AS	KOMMERSIELL	Butare	SJØ	SALTVANN	30 DA	66.474017	12.879367
SJY SEAWEED AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	30 DA	66.474017	12.879367
NOVA SEA AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	50 DA	66.807800	13.566333
NOVA SEA AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	50 DA	66.807800	13.566333
NOVA SEA AS	KOMMERSIELL	Butare	SJØ	SALTVANN	50 DA	66.807800	13.566333
NOVA SEA AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	50 DA	66.807800	13.566333
TOMMA LAKS AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	30 DA	66.299100	12.814367
TOMMA LAKS AS	KOMMERSIELL	Butare	SJØ	SALTVANN	30 DA	66.299100	12.814367
TOMMA LAKS AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	30 DA	66.299100	12.814367
